dataset,generator,fold,trial,running_time_s,running_time_min,MCC
adult,ddpm,2,6,2994.944004058838,49.915733400980635,0.5732861468574411
adult,ddpm,2,7,1920.919795036316,32.015329917271934,0.58124701574228
adult,ddpm,2,8,2401.767785310745,40.029463088512415,0.5775499985263043
adult,ddpm,2,9,4287.510217905045,71.45850363175074,0.5760560619950895
adult,ddpm,2,10,1966.158170223236,32.769302837053935,0.5764358751203058
adult,ddpm,2,11,2091.2067108154297,34.85344518025716,0.5803953168891408
adult,ddpm,2,12,2033.6575865745544,33.894293109575905,0.5840393158819474
adult,ddpm,2,13,2015.816049337387,33.59693415562312,0.5731462761118281
adult,ddpm,2,14,1967.9577991962435,32.79929665327072,0.5629055010864048
adult,ddpm,2,15,2027.187105417252,33.7864517569542,0.5823633623669341
adult,ddpm,2,16,1906.2524905204773,31.770874842007956,0.5764505152770031
adult,ddpm,2,17,2353.4430060386658,39.224050100644426,0.3966716706399202
adult,ddpm,2,18,3812.3412129879,63.539020216465,0.5836945940027515
adult,ddpm,2,19,4475.215525150299,74.58692541917165,0.5778150026697039
adult,ddpm,3,0,4143.257273197174,69.05428788661956,0.5623785132375376
adult,ddpm,3,1,4467.275884389877,74.45459807316462,0.5582581338155861
adult,ddpm,3,2,5939.50045466423,98.99167424440384,0.5655705847725874
adult,ddpm,3,3,2249.2605426311493,37.487675710519156,0.5688304275632429
adult,ddpm,3,4,2068.374740600586,34.4729123433431,0.5315865582466968
adult,ddpm,3,5,2376.312135219574,39.60520225365956,0.5316055600573705
adult,ddpm,3,6,3068.819484949112,51.14699141581853,0.583950133182406
adult,ddpm,3,7,2088.009031534195,34.80015052556992,0.5732269481741408
adult,ddpm,3,8,2521.593438625336,42.02655731042227,0.5719453114479633
adult,ddpm,3,9,4488.437783002853,74.80729638338089,0.5682453783049679
adult,ddpm,3,10,2306.545107603073,38.44241846005122,0.5954538809582072
adult,ddpm,3,11,2279.4080073833466,37.99013345638911,0.5734402496663366
adult,ddpm,3,12,2291.343662977218,38.1890610496203,0.5713907281026537
adult,ddpm,3,13,2677.948008298874,44.632466804981235,0.5935856328823792
adult,ddpm,3,14,2709.15685749054,45.152614291509,0.5769030137897654
adult,ddpm,3,15,2726.349627971649,45.43916046619415,0.5998209245714299
adult,ddpm,3,16,2656.334418773651,44.27224031289418,0.594846524314644
adult,ddpm,3,17,2465.986410856247,41.09977351427078,0.5830986099751615
adult,ddpm,3,18,3711.688320159912,61.8614720026652,0.5854635921552591
adult,ddpm,3,19,2255.129662036896,37.585494367281605,0.5943021619408546
adult,ddpm,4,0,4413.461719036102,73.55769531726837,0.554292618111809
adult,ddpm,4,1,4195.602506637573,69.92670844395955,0.5443746008232568
adult,ddpm,4,2,5919.618975639343,98.66031626065572,0.5701421865184474
adult,ddpm,4,3,2184.69944190979,36.411657365163165,0.560409844959423
adult,ddpm,4,4,1989.1913032531736,33.153188387552895,0.5091318289735001
adult,ddpm,4,5,2321.549310207367,38.69248850345612,0.5447863610926382
adult,ddpm,4,6,3204.378651380539,53.406310856342316,0.5753139765136795
adult,ddpm,4,7,2024.324440956116,33.738740682601936,0.5677844074047091
adult,ddpm,4,8,2510.734097480774,41.84556829134623,0.5690883189303128
adult,ddpm,4,9,4278.067087173462,71.3011181195577,0.5589786000061412
